PlotNumber,SiteUnit
98DM005,BG  xh 2 /Fm06
BOR39,BWBSmk   /Fm20
BRA114,BG  xh 1 /Fm06
BRA117,IDF xh 1 /Fm05
BRA119,IDF xh 1 /Fm01
CM02191,ICH mk 4 /Fm01
CM02192,ICH mk 4 /Fm01
COG146,IDF xh 1 /Fm05
COG167,IDF xh 1 /Fm01
DC12558,ICH mc 2 /Fm03
F780570,ICH wk 1 /Fm02
GAL1044,ICH wc   /Fm03
GH-D85,IDF dk 5 /Fm02
K00-012,PP  xh 2 /Fm05
K00-135,PP  xh 2 /Fm01
K00-137,IDF xh 2 /Fm01
K00-152,IDF xc   /Fm05
K00-160,PP  xw   /Fm05
K00-345,BG  xh 3 /Fm05
K00-621,PP  xh 1 /Fm01
K00-709,ICH dw 3 /Fm02
K00-845,IDF ww 1 /Fm05
K01-088,ICH dw 3 /Fm04
K011076,IDF ww 1 /Fm02
K011192,ICH dw 3 /Fm02
K011271,ICH dw 3 /Fm04
K011273,ICH dw 3 /Fm04
K01-136,PP  xh 1 /Fm05
K01-173,PP  xh 1 /Fm06
K01-826,PP  xw   /Fm05
K08-004,IDF dc   /Fm02
K08-006,IDF dc   /Fm02
K08-016,IDF xc   /Fm01
K08-020,IDF dc   /Fm02
K08-030,IDF dm 1 /Fm01
K08-102,IDF mw 2 /Fm01
K08-103,IDF mw 2 /Fm01
K08-107,IDF mw 2 /Fm01
K08-108,IDF mw 2 /Fm01
K09-003,ICH xm 1 /Fm01
K09-005,ICH xm 1 /Fm01
K09-006,ICH xm 1 /Fm01
K10-021,IDF mw 2 /Fm01
K10-028,IDF xh 2 /Fm01
K10-029,IDF xh 2 /Fm01
K10-033,IDF xh 2 /Fm01
K10-040,IDF mw 2 /Fm01
K11-114,BG  xh 2 /Fm01
K11-117,BG  xh 2 /Fm01
K11-211,IDF dk 2 /Fm02
K12-116,ICH wk 1 /Fm04
K12-118,ICH wk 1 /Fm04
K13-029,IDF ww   /Fm01
K13-127,BG  xw 1 /Fm01
K99-120,BG  xw 1 /Fm01
K99-244,BG  xw 1 /Fm01
K99-246,BG  xh 2 /Fm06
K99-260,BG  xw 1 /Fm05
KAI32,ICH dw 1 /Fm04
KBS05,ICH wc   /Fm03
KBS12,ICH wc   /Fm03
KBS208,ICH vc   /Fm03
L186,BWBSmk   /Fm20
L216,BWBSmk   /Fm20
L265,CWH wm   /Fm03
LA027,BWBSmw   /Fm20
LA342,BWBSmw   /Fm20
LCG040,IDF xh 1 /Fm05
LPdk27,IDF xc   /Fm05
N05-433,ICH mk 4 /Fm02
N06-004,IDF xx 1 /Fm01
N06-034,IDF dh   /Fm01
N06-082,IDF dm 2 /Fm01
N06-949,IDF dh   /Fm01
N07-002,IDF dm 2 /Fm01
NB431,BWBSmw   /Fm20
NCCK66,ICH mk 4 /Fm01
NTP-326,ICH dw 3 /Fm04
O4CH120,BWBSdk   /Fm20
RA74064,BWBSmk   /Fm20
RA74065,BWBSmk   /Fm20
RA74068,BWBSmk   /Fm20
RA74073,BWBSmk   /Fm20
RA74074,BWBSmk   /Fm20
RA74083,BWBSmk   /Fm20
RA74084,BWBSmk   /Fm20
RA74085,BWBSmk   /Fm20
RC6081,PP  xh 1 /Fm05
RC7003,BG  xh 1 /Fm01
REC3328,ICH wk 1 /Fm02
RS23274,IDF xk   /Fm01
Teck392,MS  dw   /Fm01
WB201,BWBSmw   /Fm20
WB278,BWBSmw   /Fm20
WB413,BWBSmw   /Fm20
Y780324,IDF xx 1 /xFm01
108780,ICH vc   /Ga04
0703080,SBPSxc   /Ga04
961172,MS  xv   /Ga04
961174,MS  xv   /Ga04
961185,MS  xv   /Ga04
963549,SBPSxc   /Ga04
8211420,SBPSdc   /Ga04
8211445,SBPSxc   /Ga04
8211450,SBPSxc   /Ga04
8211451,SBPSxc   /Ga04
9614545,MS  xv   /Ga04
9619947,MS  xv   /Ga04
12-0092,IDF dm 2 /Ga01.2
800644,BG  xw 1 /Ga05
800646,BG  xw 1 /Ga05
831354,BG  xw 1 /Ga05
831363,PP  xh 2 /Ga01
831382,PP  xh 2 /Ga01
88KLP12,IDF xh 1 /Ga02.2
9523010,IDF xm   /Ga03
9523063,IDF xm   /Ga03
95K*042,BG  xw 2 /Ga03
95KI043,BG  xw 2 /Ga03
95KI104,IDF dk 3 /Ga02.2
95RC014,BG  xw 2 /Ga02.2
95SA06C,SBPSxc   /Ga04
9616726,SBPSxc   /Ga02.1
9628810,BG  xh 2 /Ga02.2
962934,BG  xw 2 /Ga03
962949,BG  xw 2 /Ga03
