"PlotNumber","SiteUnit"
"01OK132","ESSFdc 2 /Omit"
"01OK133","ESSFdc 2 /Omit"
"762216","ESSFdc 2 /Omit"
"780383","ESSFdc 2 /Omit"
"780433","ESSFdc 2 /Omit"
"780437","ESSFdc 2 /Omit"
"832000","ESSFdc 2 /Omit"
"832103","ESSFdc 2 /Omit"
"832105","ESSFdc 2 /Omit"
"832113","ESSFdc 2 /Omit"
"832118","ESSFdc 2 /Omit"
"832119","ESSFdc 2 /Omit"
"832121","ESSFdc 2 /Omit"
"832122","ESSFdc 2 /Omit"
"832205","ESSFdc 2 /Omit"
"832206","ESSFdc 2 /Omit"
"832207","ESSFdc 2 /Omit"
"832301","ESSFdc 2 /Omit"
"832303","ESSFdc 2 /Omit"
"832306","ESSFdc 2 /Omit"
"832309","ESSFdc 2 /Omit"
"832310","ESSFdc 2 /Omit"
"832311","ESSFdc 2 /Omit"
"832313","ESSFdc 2 /Omit"
"832315","ESSFdc 2 /Omit"
"851946","ESSFdc 2 /Omit"
"851980","ESSFdc 2 /Omit"
"89CW034","ESSFdc 2 /Omit"
"9650010","ESSFdc 2 /Omit"
"9650011","ESSFdc 2 /Omit"
"9650012","ESSFdc 2 /Omit"
"98DL016","ESSFdc 2 /Omit"
"98DL017","ESSFdc 2 /Omit"
"98DL019","ESSFdc 2 /Omit"
"98DL020","ESSFdc 2 /Omit"
"98DL024","ESSFdc 2 /Omit"
"98OK032","ESSFdc 2 /Omit"
"98OK038","ESSFdc 2 /Omit"
"98OK039","ESSFdc 2 /Omit"
"98OK040","ESSFdc 2 /Omit"
"98OK045","ESSFdc 2 /Omit"
"98OK047","ESSFdc 2 /Omit"
"98OK085","ESSFdc 2 /Omit"
"98OK086","ESSFdc 2 /Omit"
"98OK550","ESSFdc 2 /Omit"
"99DM022","ESSFdc 2 /Omit"
"99DM023","ESSFdc 2 /Omit"
"99DM024","ESSFdc 2 /Omit"
"99DM026","ESSFdc 2 /Omit"
"99DM028","ESSFdc 2 /Omit"
"99DM029","ESSFdc 2 /Omit"
"99DM031","ESSFdc 2 /Omit"
"99DM038","ESSFdc 2 /Omit"
"99DM060","ESSFdc 2 /Omit"
"99DM061","ESSFdc 2 /Omit"
"99KJ018","ESSFdc 2 /Omit"
"99KJ021","ESSFdc 2 /Omit"
"99KJ032","ESSFdc 2 /Omit"
"99KJ033","ESSFdc 2 /Omit"
"99MD022","ESSFdc 2 /Omit"
"99MD023","ESSFdc 2 /Omit"
"99NB018","ESSFdc 2 /Omit"
"99RV100","ESSFdc 2 /Omit"
"99RV102","ESSFdc 2 /Omit"
"99RV104","ESSFdc 2 /Omit"
"99RV119","ESSFdc 2 /Omit"
"99RV53","ESSFdc 2 /Omit"
"99RV57","ESSFdc 2 /Omit"
"99RV58","ESSFdc 2 /Omit"
"99RV66","ESSFdc 2 /Omit"
"99RV69","ESSFdc 2 /Omit"
"99RV87","ESSFdc 2 /Omit"
"99RV88","ESSFdc 2 /Omit"
"K00-900","ESSFdc 2 /Omit"
"K01-262","ESSFdc 2 /Omit"
"K01-264","ESSFdc 2 /Omit"
"K99-427","ESSFdc 2 /Omit"
"K99-469","ESSFdc 2 /Omit"
"K99-482","ESSFdc 2 /Omit"
"K99-520","ESSFdc 2 /Omit"
"K99-521","ESSFdc 2 /Omit"
"K99-522","ESSFdc 2 /Omit"
"K99-702","ESSFdc 2 /Omit"
"RC6552","ESSFdc 2 /Omit"
"S770114","ESSFdc 2 /Omit"
"TSB179","ESSFdc 2 /Omit"
