PlotNumber,SiteUnit
RS23369,MS  dk   /110.1
SD2010,MS  dk   /110.1
SD2021,MS  dk   /110.1
SD2042,MS  dk   /110.1
SF228,MS  dk   /110.1
T197,MS  dk   /110.1
T258,MS  dk   /110.1
T899,MS  dk   /110.1
T915,MS  dk   /110.1
T931,MS  dk   /110.1
W801782,MS  dk   /110.1
12-6465,MS  dk   /110.2
9616027,MS  dk   /110.2
PA7264,MS  dk   /110.2
12-9075,MS  dk   /111a
964368,MS  dk   /111a
964448,MS  dk   /111a
9800422,MS  dk   /111a
9800829,MS  dk   /111a
9800870,MS  dk   /111a
9903070,MS  dk   /111a
GH-K111,MS  dk   /111a
GH-K114,MS  dk   /111a
GH-K123,MS  dk   /111a
GH-K68,MS  dk   /111a
HD1009,MS  dk   /111a
HD2037,MS  dk   /111a
K801860,MS  dk   /111a
L796963,MS  dk   /111a
L801946,MS  dk   /111a
N05-079,MS  dk   /111a
N05-416,MS  dk   /111a
N06-401,MS  dk   /111a
N06-465,MS  dk   /111a
PA7258,MS  dk   /111a
