"PlotNumber","SiteUnit"
"K00-336","BG  xh 3 /Gs02b"
"K00-342","BG  xh 3 /Gs02a"
"K00-343","BG  xh 3 /Gs02b"
"K00-344","BG  xh 3 /Ro04"
"K00-345","BG  xh 3 /113(Fm05)"
"LPbg1","BG  xh 3 /Gs02b"
"LPbg2","BG  xh 3 /101(Gs01)"
"LPiX210","BG  xh 3 /Gg03"
"LPiX211","BG  xh 3 /Gs02a"
"R107782","BG  xh 3 /101(Gs01)"
"R229981","BG  xh 3 /Gs01$2b.1"
"R329981","BG  xh 3 /101(Gs01)"
"2081","BG  xw 2 /101a(Gg04)"
"2881","BG  xw 2 /101a(Gg04)"
"3381","BG  xw 2 /101a(Gg04)"
"3581","BG  xw 2 /101c(Gg04)"
"481","BG  xw 2 /101a(Gg04)"
"581","BG  xw 2 /101a(Gg04)"
"681","BG  xw 2 /101b(Gg04)"
"9403","BG  xw 2 /Ro04"
"94106","BG  xw 2 /112(Fm01)"
"94107","BG  xw 2 /Ro04"
"94122","BG  xw 2 /114"
"94123","BG  xw 2 /111"
"94126","BG  xw 2 /113"
"94139","BG  xw 2 /114"
"94140","BG  xw 2 /112(Fm01)"
"94144","BG  xw 2 /Rt04"
"95KI062","BG  xw 2 /Wm06"
"95KI064","BG  xw 2 /Ff01"
"95KI072","BG  xw 2 /Ff03"
"95KI073","BG  xw 2 /Gg22$2b.1"
"95KI091","BG  xw 2 /Gg27"
"95KI093","BG  xw 2 /Ff04"
"95KI098","BG  xw 2 /101c(Gg04)"
"95KI100","BG  xw 2 /101a(Gg04)"
"95KI112","BG  xw 2 /101a(Gg04)"
"95LM01A","BG  xw 2 /101a(Gg04)"
"95LM02A","BG  xw 2 /101a(Gg04)"
"95LM03A","BG  xw 2 /101b(Gg04)"
"95LM04A","BG  xw 2 /101b(Gg04)"
"95LM08A","BG  xw 2 /101b(Gg04)"
"95LM09A","BG  xw 2 /101b(Gg04)"
"95LM09B","BG  xw 2 /101b(Gg04)"
"95LM11A","BG  xw 2 /Gg24"
"95LM12A","BG  xw 2 /Gg22$2b.1"
"95LM13A","BG  xw 2 /101a(Gg04)"
"95LM14A","BG  xw 2 /101a(Gg04)"
"95LM15","BG  xw 2 /101a(Gg04)"
"95LM16","BG  xw 2 /101a(Gg04)"
"95RC*10","BG  xw 2 /Gg27"
"95RC*19","BG  xw 2 /Gg01"
"95RC001","BG  xw 2 /Ro04"
"95RC002","BG  xw 2 /111"
"95RC012","BG  xw 2 /115"
"95RC013","BG  xw 2 /Wm04"
"95RC014","BG  xw 2 /Ga02.2"
