PlotNumber,SiteUnit
964342,ESSFdk 2 /Ro09.1
AV98028,ESSFdk 2 /Vh01.1
AV98087,ESSFdk 2 /Vh01.1
FH12,ESSFdk 2 /Vh01.1
N05-499,ESSFdk 2 /Vh01.1
N06-390,ESSFdk 2 /Vh01.1
N06-391,ESSFdk 2 /Vh01.1
98AV5,ESSFdk 2 /Vh01.2
N06-394,ESSFdk 2 /Vh01.2
964272,ESSFdk 2 /Vh02.1
98AV84,ESSFdk 2 /Vh10
98AV85,ESSFdk 2 /Vh10
AV98029,ESSFdk 2 /Vs01.1
AV98086,ESSFdk 2 /Vs01.1
98AV122,ESSFdk 2 /Vs01.2
98AV79,ESSFdk 2 /Vs01.2
N05-214,ESSFdk 2 /Vs01.2
98AV83,ESSFdk 2 /Vs02
98AV91,ESSFdk 2 /Vs02
AV98088,ESSFdk 2 /Vs02
N06-389,ESSFdk 2 /Vs02
N05-495,ESSFdk 2 /Vs03
AV98082,ESSFdk 2 /Vs10.1
AV98089,ESSFdk 2 /Vs10.1
N05-491,ESSFdk 2 /Vs10.1
N05-496,ESSFdk 2 /Vs10.1
AV98083,ESSFdk 2 /Vs10.2
N05-129,ESSFdk 2 /Vs10.2
9629991,ESSFdk 2 /Vs11
AV98085,ESSFdk 2 /Vs11
N05-497,ESSFdk 2 /Vs11
F15048,ESSFdk 2 /Wf01
964379,ESSFdk 2 /Wf02
F15049,ESSFdk 2 /Wf03
P801837,ESSFdk 2 /Wf03
N05-489,ESSFdk 2 /Wm01
PD00400,ESSFdkp  /Ag01
Teck581,ESSFdkp  /Ag01
Teck598,ESSFdkp  /Ag01
0112908,ESSFdkp  /Gg14
0112913,ESSFdkp  /Gg14
14-7636,ESSFdkp  /Gg14
14-7637,ESSFdkp  /Gg14
Teck230,ESSFdkp  /Gg14
Teck597,ESSFdkp  /Gg14
8102889,ESSFdkp  /Gg16
Teck055,ESSFdkp  /Gg16
Teck062,ESSFdkp  /Gg16
Teck221,ESSFdkp  /Gg16
Teck235,ESSFdkp  /Gg16
Teck535,ESSFdkp  /Gg16
Teck537,ESSFdkp  /Gg16
Teck578,ESSFdkp  /Gg16
Teck600,ESSFdkp  /Gg16
Teck605,ESSFdkp  /Gg16
Teck617,ESSFdkp  /Gg16
Teck618,ESSFdkp  /Gg16
Teck635,ESSFdkp  /Gg16
98AV119,ESSFdkp  /Vh10
HD2052,ESSFdkp  /Vh10
964295,ESSFdkp  /Vh11
Teck575,ESSFdkp  /xVh12
Teck619,ESSFdkp  /xVh12
N05-455,ESSFdkw  /Ag01
Teck312,ESSFdkw  /Ag01
Teck065,ESSFdkw  /Gb20
Teck611,ESSFdkw  /Gb20
14-7629,ESSFdkw  /Gg14
14-7634,ESSFdkw  /Gg14
CRGR08,ESSFdkw  /Gg14
CRGR5,ESSFdkw  /Gg14
